N 	 x 	 r 	 F1 	 F2
15 	 2 	 4 	 3 	 5
21 	 2 	 6 	 7 	 3
33 	 5 	 10 	 11 	 3
35 	 3 	 12 	 7 	 5
39 	 5 	 4 	 3 	 13
45 	 4 	 6 	 9 	 5
51 	 4 	 4 	 3 	 17
55 	 4 	 10 	 11 	 5
57 	 5 	 18 	 19 	 3
63 	 2 	 6 	 7 	 9
65 	 6 	 12 	 5 	 13
69 	 7 	 22 	 3 	 23
75 	 2 	 20 	 3 	 25
77 	 2 	 30 	 7 	 11
85 	 2 	 8 	 5 	 17
87 	 8 	 28 	 3 	 29
91 	 4 	 6 	 7 	 13
93 	 8 	 10 	 31 	 3
95 	 7 	 12 	 19 	 5
99 	 7 	 30 	 9 	 11
105 	 4 	 6 	 21 	 5
111 	 5 	 36 	 3 	 37
115 	 7 	 44 	 23 	 5
117 	 10 	 6 	 9 	 13
119 	 2 	 24 	 7 	 17
123 	 4 	 10 	 3 	 41
129 	 7 	 6 	 3 	 43
133 	 2 	 18 	 7 	 19
135 	 7 	 36 	 27 	 5
141 	 8 	 46 	 47 	 3
143 	 8 	 20 	 11 	 13
145 	 6 	 14 	 5 	 29
147 	 8 	 14 	 49 	 3
153 	 7 	 48 	 9 	 17
155 	 9 	 30 	 31 	 5
159 	 4 	 26 	 3 	 53
161 	 3 	 66 	 23 	 7
165 	 7 	 20 	 33 	 5
171 	 13 	 18 	 9 	 19
175 	 2 	 60 	 7 	 25
177 	 10 	 58 	 3 	 59
183 	 11 	 4 	 3 	 61
185 	 6 	 4 	 5 	 37
187 	 10 	 16 	 11 	 17
189 	 11 	 18 	 7 	 27
195 	 2 	 12 	 3 	 65
201 	 14 	 22 	 67 	 3
203 	 12 	 12 	 7 	 29
205 	 3 	 8 	 5 	 41
207 	 2 	 66 	 23 	 9
209 	 12 	 6 	 11 	 19
213 	 5 	 10 	 71 	 3
215 	 14 	 42 	 43 	 5
217 	 5 	 6 	 31 	 7
219 	 13 	 72 	 3 	 73
221 	 6 	 48 	 13 	 17
231 	 10 	 6 	 3 	 77
235 	 4 	 46 	 47 	 5
237 	 2 	 78 	 79 	 3
245 	 4 	 42 	 49 	 5
247 	 5 	 36 	 19 	 13
249 	 13 	 82 	 3 	 83
253 	 5 	 110 	 11 	 23
255 	 4 	 4 	 15 	 17
259 	 12 	 18 	 37 	 7
261 	 2 	 84 	 9 	 29
265 	 6 	 26 	 5 	 53
267 	 8 	 22 	 89 	 3
273 	 4 	 6 	 21 	 13
275 	 8 	 20 	 11 	 25
279 	 14 	 30 	 31 	 9
285 	 11 	 6 	 95 	 3
287 	 8 	 20 	 7 	 41
291 	 7 	 96 	 3 	 97
295 	 6 	 58 	 5 	 59
297 	 13 	 90 	 27 	 11
299 	 15 	 132 	 23 	 13
301 	 6 	 6 	 43 	 7
303 	 10 	 4 	 3 	 101
305 	 11 	 4 	 5 	 61
309 	 8 	 34 	 103 	 3
315 	 8 	 4 	 63 	 5
319 	 4 	 70 	 11 	 29
321 	 7 	 106 	 3 	 107
323 	 5 	 144 	 19 	 17
325 	 9 	 30 	 13 	 25
327 	 11 	 108 	 3 	 109
329 	 17 	 138 	 47 	 7
333 	 17 	 36 	 9 	 37
335 	 9 	 22 	 67 	 5
339 	 8 	 28 	 3 	 113
341 	 8 	 10 	 31 	 11
345 	 8 	 44 	 69 	 5
351 	 8 	 12 	 27 	 13
355 	 2 	 140 	 71 	 5
357 	 2 	 24 	 21 	 17
363 	 5 	 110 	 121 	 3
365 	 18 	 36 	 73 	 5
369 	 17 	 40 	 9 	 41
371 	 8 	 52 	 7 	 53
375 	 11 	 50 	 125 	 3
377 	 3 	 84 	 13 	 29
381 	 8 	 14 	 127 	 3
385 	 2 	 60 	 77 	 5
387 	 19 	 42 	 9 	 43
391 	 14 	 176 	 23 	 17
393 	 5 	 130 	 131 	 3
395 	 12 	 52 	 79 	 5
399 	 8 	 6 	 7 	 57
403 	 8 	 20 	 31 	 13
405 	 8 	 36 	 81 	 5
407 	 3 	 90 	 11 	 37
411 	 8 	 68 	 3 	 137
413 	 20 	 58 	 59 	 7
415 	 2 	 164 	 83 	 5
417 	 20 	 138 	 139 	 3
423 	 10 	 46 	 9 	 47
425 	 3 	 80 	 25 	 17
427 	 11 	 12 	 7 	 61
429 	 5 	 20 	 33 	 13
435 	 4 	 14 	 3 	 145
437 	 20 	 22 	 19 	 23
445 	 12 	 8 	 5 	 89
447 	 10 	 148 	 3 	 149
451 	 18 	 10 	 41 	 11
453 	 2 	 30 	 151 	 3
455 	 17 	 12 	 91 	 5
459 	 20 	 144 	 27 	 17
465 	 2 	 20 	 93 	 5
469 	 17 	 66 	 67 	 7
471 	 13 	 6 	 3 	 157
473 	 12 	 42 	 11 	 43
475 	 8 	 60 	 19 	 25
477 	 20 	 156 	 9 	 53
481 	 12 	 18 	 37 	 13
483 	 13 	 22 	 69 	 7
485 	 16 	 12 	 5 	 97
489 	 14 	 162 	 163 	 3
493 	 8 	 56 	 29 	 17
495 	 17 	 20 	 99 	 5
497 	 12 	 210 	 71 	 7
501 	 8 	 166 	 167 	 3
505 	 13 	 100 	 101 	 5
507 	 14 	 26 	 169 	 3
511 	 22 	 8 	 7 	 73
513 	 22 	 18 	 27 	 19
515 	 11 	 102 	 5 	 103
517 	 17 	 230 	 47 	 11
519 	 19 	 172 	 3 	 173
525 	 4 	 30 	 21 	 25
527 	 9 	 120 	 31 	 17
531 	 10 	 58 	 9 	 59
533 	 6 	 120 	 13 	 41
535 	 4 	 106 	 107 	 5
537 	 17 	 178 	 179 	 3
539 	 20 	 70 	 11 	 49
543 	 2 	 180 	 3 	 181
545 	 9 	 54 	 109 	 5
549 	 4 	 30 	 9 	 61
551 	 2 	 252 	 19 	 29
553 	 20 	 78 	 79 	 7
555 	 17 	 36 	 3 	 185
559 	 2 	 84 	 43 	 13
561 	 14 	 80 	 33 	 17
565 	 7 	 28 	 113 	 5
567 	 23 	 54 	 7 	 81
573 	 7 	 10 	 3 	 191
575 	 22 	 20 	 23 	 25
579 	 23 	 32 	 3 	 193
581 	 22 	 82 	 7 	 83
583 	 2 	 260 	 11 	 53
585 	 8 	 4 	 9 	 65
589 	 11 	 30 	 19 	 31
591 	 7 	 98 	 3 	 197
595 	 24 	 48 	 35 	 17
597 	 20 	 198 	 199 	 3
603 	 17 	 66 	 67 	 9
605 	 12 	 44 	 121 	 5
